stateabb1,stateabb2,year,sign
USA,RUS,1980,-1
USA,IRN,1980,-1
USA,TUR,1980,1
USA,IRQ,1980,-1
USA,SYR,1980,-1
RUS,IRN,1980,-1
RUS,ISR,1980,-1
IRN,IRQ,1980,-1
IRN,EGY,1980,-1
IRN,SAU,1980,-1
IRN,KUW,1980,-1
TUR,IRQ,1980,-1
TUR,SYR,1980,-1
IRQ,SYR,1980,-1
IRQ,LEB,1980,1
IRQ,JOR,1980,1
IRQ,ISR,1980,-1
IRQ,SAU,1980,-1
IRQ,YAR,1980,1
IRQ,YPR,1980,1
IRQ,KUW,1980,-1
IRQ,BAH,1980,1
IRQ,QAT,1980,1
IRQ,UAE,1980,1
IRQ,OMA,1980,1
SYR,LEB,1980,-1
SYR,JOR,1980,-1
SYR,ISR,1980,-1
SYR,SAU,1980,1
SYR,YAR,1980,1
SYR,YPR,1980,1
SYR,KUW,1980,1
SYR,BAH,1980,1
SYR,QAT,1980,1
SYR,UAE,1980,1
SYR,OMA,1980,1
LEB,JOR,1980,1
LEB,ISR,1980,-1
LEB,SAU,1980,1
LEB,YAR,1980,1
LEB,YPR,1980,1
LEB,KUW,1980,1
LEB,BAH,1980,1
LEB,QAT,1980,1
LEB,UAE,1980,1
LEB,OMA,1980,1
JOR,ISR,1980,-1
JOR,SAU,1980,1
JOR,YAR,1980,1
JOR,YPR,1980,1
JOR,KUW,1980,1
JOR,BAH,1980,1
JOR,QAT,1980,1
JOR,UAE,1980,1
JOR,OMA,1980,1
ISR,SAU,1980,-1
SAU,YAR,1980,-1
SAU,YPR,1980,1
SAU,KUW,1980,1
SAU,BAH,1980,1
SAU,QAT,1980,1
SAU,UAE,1980,1
SAU,OMA,1980,1
YAR,YPR,1980,1
YAR,KUW,1980,1
YAR,BAH,1980,1
YAR,QAT,1980,1
YAR,UAE,1980,1
YAR,OMA,1980,1
YPR,KUW,1980,1
YPR,BAH,1980,1
YPR,QAT,1980,1
YPR,UAE,1980,1
YPR,OMA,1980,-1
KUW,BAH,1980,1
KUW,QAT,1980,1
KUW,UAE,1980,1
KUW,OMA,1980,1
BAH,QAT,1980,1
BAH,UAE,1980,1
BAH,OMA,1980,1
QAT,UAE,1980,1
QAT,OMA,1980,1
UAE,OMA,1980,1
